Book title;Book descriptions
Nonlinear Fiber Optics;The field of nonlinear fiber optics has grown substantially since the First Edition of Nonlinear Fiber Optics published in 1989 Like the First Edition this Second Edition is a comprehensive tutorial and uptodate account of nonlinear optical phenomena in fiber optics It synthesizes widely scattered research material and presents it in an accessible manner for students and researchers already engaged in or wishing to enter the field of nonlinear fiber optics Particular attention is paid to the importance of nonlinear effects in the design of optical fiber communication systems This is a completely new book containing either new sections or major revisions in every chapter
Challenge of Management Accounting Change;The implementation of management accounting change constitutes much more than the selection of what may be perceived as being optimal accounting systems and techniques followed by a technical process of implementation  Selecting and implementing the right accounting systems and techniques and the technical aspects of implementation are important but change implementation and change management also involves important behavioural and cultural issues that must be understood and addressed The main focus of The Challenge of Management Accounting Change is on understanding the processes involved in the implementation of management accounting change and the complexities of and difficulties involved in changing management accounting systems techniques and roles in the UK  brbrThis book outlines a framework for interpreting and understanding management accounting change as an ongoing process and a range of case studies are used to illustrate both successful and unsuccessful implementations drawing out the various lessons that can be learned and suggesting some pointers for those embarking on a programme of management accounting change
Kinetics of Soil Chemical Processes;The kinetics of reactions in soil and aquatic environments is a topic of extreme importance and interest To properly understand the fate of applied fertilizers pesticides and organic pollutants with time and to thus improve nutrient availability and the quality of our groundwater one must study kinetics This is the first compre
The Lung Circulation;The Lung Circulation deals with important aspects of the lung circulation with emphasis on the physiology of the pulmonary and bronchial circulation and autonomic pharmacology Topics covered range from the role of anoxia in pulmonary circulation to reflexes arising from the pulmonary circulation and neighboring structures The release of chemical substances from the pulmonary and bronchial circulation is also discussed  This volume is comprised of 10 chapters and begins with a review of the influence of anoxia on pulmonary circulation as well as four pertinent effects of anoxemia namely respiratory stimulation cardiac stimulation systemic vasoconstriction and vasodilatation and pulmonary vasoconstriction and vasodilatation The following chapters focus on the regulation of bronchial circulation autonomic nervous control of pulmonary circulation involving acetylcholine anticholinesterases and atropine and the pharmacology of sympathomimetic drugs sympathetic blocking drugs ganglion stimulants and blocking drugs The final chapter is devoted to the pharmacology of the autonomic nervous system and considers drugs that stimulate chemoreflexes arising from the lung circulation including veratrum alkaloids  This book will appeal to physiologists and pharmacologists
An Introduction to GastroEnterology;The Mechanics of the Digestive Tract Fourth Edition An Introduction to GastroEnterology provides information pertinent to the mechanics of the digestive tract This book reviews the various explanations for the downward progress of intestinal waves  Organized into 34 chapters this edition begins with an overview of the main types of activity in the small bowel This text then explains the nature of the polarity and the location of the mechanism that produces it Other chapters consider the duodenal tonus contraction in which the wave seems to originate generally appears a few seconds before a gastric wave reaches the pylorus This book discusses as well the polarity of the bowel that caused every contraction ring to spread caudad as soon it formed The final chapter provides a list of books that are likely to be helpful to readers who are starting on their lifework in the fields of gastroenterology and gastrointestinal physiology  This book is a valuable resource for students teachers physicians and research workers
Materials for Automobile Bodies;The selection of automobile body materials is fundamental to the choice of fabrication method and the characteristics and performance of the final vehicle or component The factors behind these choices comprise some of the key technological and design issues facing automotive engineers today Materials for Automobile Bodies brings together a wealth of information on automotive materials and material technologies to provide designers and vehicle body engineers with both a solid grounding and a quick reference to inform their material choices Coverage includes materials processing formability welding and joining anticorrosion technologies plus a comprehensive consideration of the implications of materials selection on these processes Dealing with the whole assembly process from raw material to production right through to recycling at the end of a vehicles life this book is the essential resource for practising engineers designers analysts and students involved in the design and specification of motor vehicle bodies and components
The Social Self;The Social Self is a multifaceted analysis of the self concept based on the social nature of the self The emphasis is on selfesteem along with selfcentrality selfcomplexity social interest identification power marginality openness and majority identification The book relies on an approach based upon nonverbal measures of the self concept and in which the individual is asked to locate himself in relation to a field of significant others represented in a variety of geometric arrangements using symbols of the self and others  Comprised of nine chapters this book begins with a description of some of the basic components of the self system including selfesteem social interest and marginality The discussion moves toward more complex analyses including the alienation syndrome and the political personality involving two or more of the components of the social self The next section focuses on the development of the self concept and examines such variables as socioeconomic background and the history of geographic mobility of the child A theory of selfother orientation is also considered along with a helical theory of personal change   This monograph is intended for students of social psychology personality sociology and education who are interested in the self concept its measurement and theoretical considerations
Computability Complexity Logic;The theme of this book is formed by a pair of concepts the concept of formal language as carrier of the precise expression of meaning facts and problems and the concept of algorithm or calculus ie a formally operating procedure for the solution of precisely described questions and problemsThe book is a unified introduction to the modern theory of these concepts to the way in which they developed first in mathematical logic and computability theory and later in automata theory and to the theory of formal languages and complexity theory Apart from considering the fundamental themes and classical aspects of these areas the subject matter has been selected to give priority throughout to the new aspects of traditional questions results and methods which have developed from the needs or knowledge of computer science and particularly of complexity theoryIt is both a textbook for introductory courses in the abovementioned disciplines as well as a monograph in which further results of new research are systematically presented and where an attempt is made to make explicit the connections and analogies between a variety of concepts and constructions
The Voluntary Food Intake of Farm Animals;The Voluntary Food Intake of Farm Animals offers a wide discussion on food intake among farm animals The book presents various studies facts details and theories that are relevant to the subject  The first chapter begins by explaining the basic definition and significance of voluntary food intake This topic is followed by discussions on meal patterns the main features of eating and the similarities between species The next chapter explores theories about the food intake control which are divided into two types singlefactor theories and multiplefactor theories In Chapter 3 the discussion is on the foods pathway including elaborations on the various receptors Chapter 4 considers the central nervous systems involvement in the voluntary food intake and the energy balance regulation The next couple of chapters highlight the possible reasons that affect food intake among them are pregnancy fattening physical growths and the environment In the books remaining chapters the discussion revolves around grass intake and the prediction and manipulation of voluntary food intake  The book serves as a valuable reference for undergraduates and postgraduates of biology and its related fields
Hazardous Substances and Human Health;There is widespread public concern about hazardous chemicals that are contained in air soil water and food Policy has therefore adopted a series of laws and regulations concerning emissions into and concentration levels in different media including food As policy makers do not only have to consider the protection of the environment but also need to ensure a wellfunctioning economy at the same time these limit or target values need to be set in a balanced way The main problem however is to compare the costs for achieving these targets with the benefits to society by having a smaller exposure to hazardous substances costbenefit analysis brbrThis book sets out to improve the reliability of costbenefit analyses particularly of hazardous substances present in air water soil and food It suggests that the human health risk assessment of chemicals is performed in a bottomup analysis ie following a spatially resolved multimedia modelling approach In order to support costbenefit analyses the approach is accompanied by monetary valuation of human health impacts yielding socalled external costs Results for selected priority metals show that these external costs are small compared to those by the classical air pollutants and involve rather long time horizons touching on the aspect of intergenerational equity within sustainable development When including further hazardous substances the total external costs attributable to contaminants are expected to be more substantial
MRCP Part 2 Best of Five Clinical Questions and Answers;This book of 250 best of five questions focusing on data interpretation and case histories is a title in the bestselling series The Complete MRCP regarded as one of the most authoritative sources of selfassessment material for the MRCP written examinations
The Evaluation of Worldwide Digital Reference Services in Libraries;This book outlines and evaluates the digital reference services in libraries worldwide The work is based on an international collaborative project between two groups from German and Chinese institutions during which digital reference services provided by nearly 200 libraries all over the world were evaluated The book also examines the reasons for the resulting differences it also contains more generic proposals and perspectives on digital reference services
Training Library Patrons the Addie Way;This book takes an informal and indepth look at the five steps of the ADDIE model  Analysis Design Development Implementation and Evaluation  as used in library training programmes With hints and tips and practical advice from other trainers the aims of the book are to 1 make the training of library patrons a simple task and 2 to show library staff that training can be rewarding and extremely satisfying Anyone who has had to design a library training programme will know that it can be quite a daunting task without guidelines but when it comes to the various learning theories and the associated instructional design models the choice can be overwhelming This book will help the reader overcome these problems
Problems in Optics;This collection of problems and accompanying solutions provide the reader with a full introduction to physical optics The subject coverage is fairly traditional with chapters on interference and diffraction and there is a general emphasis on spectroscopy
Hematopathology;This comprehensive full color hematopathology reference book emphasizes immunophenotpic features cytogenetic studies and diagnostic molecular aspects Hematopathology begins with introductions to morphologic evaluation of the hematopoietic tissues and principles of immunophenotyping cytogenetics and molecular studies followed by chapters dedicated to different types of hematologic disorders Each chapter starts with a basic overview of hematopathlogy followed by a comprehensive review of immunophenotypic cytogenetic and molecular findings The text is balanced with large numbers of full color images graphs charts and tables to assist the reader in understanding these highly technical issues
Diagnostic Pathology Infectious Diseases;This expert volume in the Diagnostic Pathology series is an excellent pointofcare resource for practitioners at all levels of experience and training Covering all aspects of infectious diseases including novel infections and lesserknown microorganisms this volume incorporates the most recent scientific and technical knowledge in the field to provide a comprehensive overview of all key issues relevant to todays practice Richly illustrated and easy to use the third edition of Diagnostic Pathology Infectious Diseases is a visually stunning onestop resource for every practicing pathologist resident student or fellow as an ideal daytoday reference or as a reliable training resource
Fluoropolymer Applications in the Chemical Processing Industries;This is a selfcontained collection of data and information on applications of fluoropolymers components for corrosion control in chemical processing industries Due to their superior properties fluoropolymers have been rapidly replacing metal alloys for preserving the purity of processing streams in the chemical processing plastics food pharmaceutical semiconductor and pulp and paper industries
Pericardial Diseases An Issue of Cardiology Clinics;This issue of Cardiology Clinics edited by Jae K Oh William Miranda and Terrence D Welch will cover a broad range of topics related to Pericardial Disease Subjects discussed include but are not limited to Anatomy and Physiology of the Pericardium Imaging of the Pericardium Acute and Recurrent Pericarditis Tuberculous and Infectious Pericarditis Pericardial Involvement in Systemic Diseases  Special Forms Cardiac Tamponade Constrictive Pericarditis Effusiveconstrictive Pericarditis Surgical Management Percutaneous Therapy in Pericardial Diseases Congenital Abnormalities of the Pericardium and Neoplastic Pericardial Disease
Womens Health An Issue of Primary Care Clinics in Office Practice;This issue of Primary Care Clinics in Office Practice guest edited by Dr Diane M Harper is devoted to Womens Health Articles in this issue include Social Constructs of How Women View and Obtain Their Healthcare Becoming Reproductive Family Planning and Contraception Termination of Pregnancy Female Athlete Triad Menopause Bone Health in Women Cancers in Women Cancer Survivor Health Needs for Women Womens Health and the Military Transgendered Women Female to Male and Male to Female Plastic Surgery for Women Integrative Health for Women Geriatric Medicine and Palliative Care for Women and Medication Assisted Treatment MAT Considerations for Women with Opiate Addiction Disorders
Complications Considerations and Consequences of Colorectal Surgery An Issue of Surgical Clinics;This issue will explore the complications considerations and consequences of colorectal surgery Topics will include evaluating colorectal surgery patients to estimate and minimize morbidity and mortality fasttrack pathways intraoperative adjuncts colorectal anastomotic complications proctectomy stomas Crohns disease rectal prolapse pelvic surgery laparoscopy enterocutaneous fistula and more
Converter and Filter Circuits;This series of circuits provides designers with a quick source for converter and filter circuits  Why waste time paging through huge encyclopedias when you can choose the topic you need and select any of the specialized circuits sorted by applicationThis book in the series has 250300 practical readytouse circuit designs with schematics and brief explanations of circuit operation  The original source for each circuit is listed in an appendix making it easy to obtain additional information
Robot Control 1991 SYROCO91;This volume contains 92 papers on the stateoftheart in robotics research In this volume topics on modelling and identification are treated first as they build the basis for practically all control aspects Then the most basic control tasks are discussed ie problems of inverse kinematics Groups of papers follow which deal with various advanced control aspects They range from rather general methods to more specialized topics such as force control and control of hydraulic robots The problem of path planning is addressed and strategies for robots with one arm for mobile robots and for multiple arm robots are presented Also covered are computational improvements and software tools for simulation and control the integration of sensors and sensor signals in robot control
Exploratory Analysis of Metallurgical Process Data with Neural Networks and Related Methods;This volume is concerned with the analysis and interpretation of multivariate measurements commonly found in the mineral and metallurgical industries with the emphasis on the use of neural networksThe book is primarily aimed at the practicing metallurgist or process engineer and a considerable part of it is of necessity devoted to the basic theory which is introduced as briefly as possible within the large scope of the field  Also although the book focuses on neural networks they cannot be divorced from their statistical framework and this is discussed in length The book is therefore a blend of basic theory and some of the most recent advances in the practical application of neural networks
Using Diffusion MRI in Neuroscience Research;Using Diffusion MRI in Neuroscience Researchprovides for readers a current review on the use of diffusion MRI in neuroscience with emphasis on neuroanatomy connectivity and neuroplasticity The bookincludesa brief and directed background on diffusion MRI for neuroscientistsandits neurological applications including strokeWith a look at its use for microstructural investigation of the brain this book willprovidenew insights on brain connectivity brain plasticity and temporal dynamics of brains microstructureThis will allow readers the ability to betterintegrate thisnew methodologyimage processingand statistical designfor more efficient research
Vacuum Technology and Applications;Vacuum Technology and Applications reviews the most commonly encountered methods for the production containment and measurement of subatmospheric pressure This book also outlines a number of very important applications of this technology  This text is organized into eight chapters and begins with a brief survey of the fundamental principles of vacuum technology The succeeding chapters deal with the pumps used for the production of roughmedium and highultrahigh vacua These chapters specifically cover their principles performance and applications These topics are followed by a discussion of the devices for residual gas analysis and partial pressure measurement Other chapters consider the aspects of leak detection using Hespecific mass spectrometer and the materials components and fabrication of vacuum devices The final chapters explore the application of vacuum technology in critical areas of industrial activity such as thinfilm technology semiconductor metallurgy and chemical industry  This book will prove useful to practicing mechanical chemical and design engineers
Voice over Internet Protocol VoIP Security;Voice Over Internet Protocol Security has been designed to help the reader fully understand prepare for and mediate current security and QoS risks in todays complex and ever changing converged network environment and it will help you secure your VoIP network whether you are at the planning implementation or postimplementation phase of your VoIP infrastructure 
Neuro Notes Clinical Pocket Guide;Whatever the practice settingacute care rehabilitation outpatient extended care or in a schoolturn to this handy pocket guide to the neurological examination Small in size but not in content it covers all of the common neuromuscular conditions disorders and diseases you might encountered in patients throughout their lifespans A spiral binding thumb tabs and nearly 240 illustrations insure you can find just what youre looking for Waterproof reusable pages let you record clinical data and then wipe the pages clean with alcohol
Acoustic Wave Sensors;Written by an interdisciplinary group of experts from both industry and academia Acoustic Wave Sensors provides an indepth look at the current state of acoustic wave devices and the scope of their use in chemical biochemical and physical measurements as well as in engineering applications Because of the inherent interdisciplinary applications of these devices this book will be useful for the chemist and biochemist interested in the use and development ofthese sensors for specific applications the electrical engineer involved in the design and improvement of these devices the chemical engineer and the biotechnologist interested in using these devices for process monitoring and control and the sensor community at large
